categoria,periodo,valor,año,trimestre,fuente
ADQUISICION_NETA_AF,2017-Q1,-546046.3410278521,2017,1,Gobierno Central
ADQUISICION_NETA_AF,2017-Q2,4028499.779247788,2017,2,Gobierno Central
ADQUISICION_NETA_AF,2017-Q3,-1188484.1325346816,2017,3,Gobierno Central
ADQUISICION_NETA_AF,2017-Q4,-1648661.6915243587,2017,4,Gobierno Central
ADQUISICION_NETA_AF,2018-Q1,-631733.0769263143,2018,1,Gobierno Central
ADQUISICION_NETA_AF,2018-Q2,184631.10795008903,2018,2,Gobierno Central
ADQUISICION_NETA_AF,2018-Q3,1537599.876451287,2018,3,Gobierno Central
ADQUISICION_NETA_AF,2018-Q4,-1073898.0767981696,2018,4,Gobierno Central
ADQUISICION_NETA_AF,2019-Q1,-253242.8745421377,2019,1,Gobierno Central
ADQUISICION_NETA_AF,2019-Q2,2080546.7870806418,2019,2,Gobierno Central
ADQUISICION_NETA_AF,2019-Q3,-210339.39410968922,2019,3,Gobierno Central
ADQUISICION_NETA_AF,2019-Q4,-2882369.0455527343,2019,4,Gobierno Central
ADQUISICION_NETA_AF,2020-Q1,687232.1456049978,2020,1,Gobierno Central
ADQUISICION_NETA_AF,2020-Q2,193836.14102000176,2020,2,Gobierno Central
ADQUISICION_NETA_AF,2020-Q3,-5010645.223080002,2020,3,Gobierno Central
ADQUISICION_NETA_AF,2020-Q4,-2265730.54827,2020,4,Gobierno Central
ADQUISICION_NETA_AF,2021-Q1,-711639.9175399994,2021,1,Gobierno Central
ADQUISICION_NETA_AF,2021-Q2,-671945.0696500002,2021,2,Gobierno Central
ADQUISICION_NETA_AF,2021-Q3,118911.5792699981,2021,3,Gobierno Central
ADQUISICION_NETA_AF,2021-Q4,-2696232.3487500013,2021,4,Gobierno Central
ADQUISICION_NETA_AF,2022-Q1,4085552.5991100064,2022,1,Gobierno Central
ADQUISICION_NETA_AF,2022-Q2,9463201.221980007,2022,2,Gobierno Central
ADQUISICION_NETA_AF,2022-Q3,-1624265.4706099993,2022,3,Gobierno Central
ADQUISICION_NETA_AF,2022-Q4,-2688453.1845399984,2022,4,Gobierno Central
ADQUISICION_NETA_AF,2023-Q1,-2251020.893400003,2023,1,Gobierno Central
ADQUISICION_NETA_AF,2023-Q2,2267369.7058199956,2023,2,Gobierno Central
