categoria,periodo,valor,año,trimestre,fuente
ADQUISICION_NETA_ANF,2017-Q1,1302515.7253899998,2017,1,Gobierno Central
ADQUISICION_NETA_ANF,2017-Q2,1545363.1592700002,2017,2,Gobierno Central
ADQUISICION_NETA_ANF,2017-Q3,1433809.43077,2017,3,Gobierno Central
ADQUISICION_NETA_ANF,2017-Q4,2484571.39508,2017,4,Gobierno Central
ADQUISICION_NETA_ANF,2018-Q1,1363494.48812,2018,1,Gobierno Central
ADQUISICION_NETA_ANF,2018-Q2,1651690.4697099999,2018,2,Gobierno Central
ADQUISICION_NETA_ANF,2018-Q3,1362455.4013,2018,3,Gobierno Central
ADQUISICION_NETA_ANF,2018-Q4,2615071.45778,2018,4,Gobierno Central
ADQUISICION_NETA_ANF,2019-Q1,1403877.5683000002,2019,1,Gobierno Central
ADQUISICION_NETA_ANF,2019-Q2,1587769.1918300001,2019,2,Gobierno Central
ADQUISICION_NETA_ANF,2019-Q3,1640994.0588600005,2019,3,Gobierno Central
ADQUISICION_NETA_ANF,2019-Q4,2815929.45337,2019,4,Gobierno Central
ADQUISICION_NETA_ANF,2020-Q1,1145712.4865499998,2020,1,Gobierno Central
ADQUISICION_NETA_ANF,2020-Q2,1572514.47956,2020,2,Gobierno Central
ADQUISICION_NETA_ANF,2020-Q3,1439320.23369,2020,3,Gobierno Central
ADQUISICION_NETA_ANF,2020-Q4,2640588.052329999,2020,4,Gobierno Central
ADQUISICION_NETA_ANF,2021-Q1,1286146.76029,2021,1,Gobierno Central
ADQUISICION_NETA_ANF,2021-Q2,1815295.52537,2021,2,Gobierno Central
ADQUISICION_NETA_ANF,2021-Q3,1822744.88272,2021,3,Gobierno Central
ADQUISICION_NETA_ANF,2021-Q4,3024904.9771499992,2021,4,Gobierno Central
ADQUISICION_NETA_ANF,2022-Q1,1363283.20087,2022,1,Gobierno Central
ADQUISICION_NETA_ANF,2022-Q2,1893866.14785,2022,2,Gobierno Central
ADQUISICION_NETA_ANF,2022-Q3,2059256.3378599999,2022,3,Gobierno Central
ADQUISICION_NETA_ANF,2022-Q4,3962084.6479400005,2022,4,Gobierno Central
ADQUISICION_NETA_ANF,2023-Q1,1540175.1586799999,2023,1,Gobierno Central
ADQUISICION_NETA_ANF,2023-Q2,2440438.7513100007,2023,2,Gobierno Central
ADQUISICION_NETA_ANF,2023-Q3,2132536.8475800003,2023,3,Gobierno Central
ADQUISICION_NETA_ANF,2023-Q4,3644516.1187200006,2023,4,Gobierno Central
ADQUISICION_NETA_ANF,2024-Q1,2042018.2825700003,2024,1,Gobierno Central
ADQUISICION_NETA_ANF,2024-Q2,2871376.72424,2024,2,Gobierno Central
ADQUISICION_NETA_ANF,2024-Q3,2375156.6849499997,2024,3,Gobierno Central
ADQUISICION_NETA_ANF,2024-Q4,3111491.7997,2024,4,Gobierno Central
ADQUISICION_NETA_ANF,2025-Q1,2421943.170970001,2025,1,Gobierno Central
ADQUISICION_NETA_ANF,2025-Q2,2937238.89307,2025,2,Gobierno Central
ADQUISICION_NETA_ANF,2025-Q3,2511832.4429699993,2025,3,Gobierno Central
ADQUISICION_NETA_ANF,2025-Q4,3625699.959519999,2025,4,Gobierno Central
venta_activos_fisicos,2017-Q1,2700.3509999999997,2017,1,Gobierno Central
venta_activos_fisicos,2017-Q2,3575.191,2017,2,Gobierno Central
venta_activos_fisicos,2017-Q3,3398.8166,2017,3,Gobierno Central
venta_activos_fisicos,2017-Q4,6550.63223,2017,4,Gobierno Central
venta_activos_fisicos,2018-Q1,850.251,2018,1,Gobierno Central
venta_activos_fisicos,2018-Q2,5709.148,2018,2,Gobierno Central
venta_activos_fisicos,2018-Q3,2156.92027,2018,3,Gobierno Central
venta_activos_fisicos,2018-Q4,3165.86793,2018,4,Gobierno Central
venta_activos_fisicos,2019-Q1,3171.3377200000004,2019,1,Gobierno Central
venta_activos_fisicos,2019-Q2,1476.96021,2019,2,Gobierno Central
venta_activos_fisicos,2019-Q3,2465.731120000001,2019,3,Gobierno Central
venta_activos_fisicos,2019-Q4,4352.659000000001,2019,4,Gobierno Central
venta_activos_fisicos,2020-Q1,400.01227999999986,2020,1,Gobierno Central
venta_activos_fisicos,2020-Q2,2849.912,2020,2,Gobierno Central
venta_activos_fisicos,2020-Q3,9800.699,2020,3,Gobierno Central
venta_activos_fisicos,2020-Q4,1636.8938799999999,2020,4,Gobierno Central
venta_activos_fisicos,2021-Q1,1804.856,2021,1,Gobierno Central
venta_activos_fisicos,2021-Q2,1168.07502,2021,2,Gobierno Central
venta_activos_fisicos,2021-Q3,1325.5960000000002,2021,3,Gobierno Central
venta_activos_fisicos,2021-Q4,6804.742099999999,2021,4,Gobierno Central
venta_activos_fisicos,2022-Q1,3947.4984799999997,2022,1,Gobierno Central
venta_activos_fisicos,2022-Q2,5442.11,2022,2,Gobierno Central
venta_activos_fisicos,2022-Q3,3012.579,2022,3,Gobierno Central
venta_activos_fisicos,2022-Q4,14171.604000000001,2022,4,Gobierno Central
venta_activos_fisicos,2023-Q1,4082.3040000000005,2023,1,Gobierno Central
venta_activos_fisicos,2023-Q2,3796.86,2023,2,Gobierno Central
venta_activos_fisicos,2023-Q3,1391.0880000000002,2023,3,Gobierno Central
venta_activos_fisicos,2023-Q4,3173.8299999999995,2023,4,Gobierno Central
venta_activos_fisicos,2024-Q1,3456.908,2024,1,Gobierno Central
venta_activos_fisicos,2024-Q2,3078.8099999999995,2024,2,Gobierno Central
venta_activos_fisicos,2024-Q3,3451.503,2024,3,Gobierno Central
venta_activos_fisicos,2024-Q4,7648.288999999999,2024,4,Gobierno Central
venta_activos_fisicos,2025-Q1,968.8059999999999,2025,1,Gobierno Central
venta_activos_fisicos,2025-Q2,1061.1619999999998,2025,2,Gobierno Central
venta_activos_fisicos,2025-Q3,843.0459999999999,2025,3,Gobierno Central
venta_activos_fisicos,2025-Q4,9162.956,2025,4,Gobierno Central
inversion,2017-Q1,654096.56839,2017,1,Gobierno Central
inversion,2017-Q2,780612.4812700001,2017,2,Gobierno Central
inversion,2017-Q3,791986.17937,2017,3,Gobierno Central
inversion,2017-Q4,1638834.07831,2017,4,Gobierno Central
inversion,2018-Q1,579450.65212,2018,1,Gobierno Central
inversion,2018-Q2,861026.14971,2018,2,Gobierno Central
inversion,2018-Q3,675441.7385699999,2018,3,Gobierno Central
inversion,2018-Q4,1766672.6957099999,2018,4,Gobierno Central
inversion,2019-Q1,703245.5990200002,2019,1,Gobierno Central
inversion,2019-Q2,861529.1250400001,2019,2,Gobierno Central
inversion,2019-Q3,854911.2919799999,2019,3,Gobierno Central
inversion,2019-Q4,1611456.3163700004,2019,4,Gobierno Central
inversion,2020-Q1,585201.83683,2020,1,Gobierno Central
inversion,2020-Q2,789163.52656,2020,2,Gobierno Central
inversion,2020-Q3,732013.5376900001,2020,3,Gobierno Central
inversion,2020-Q4,1480630.65621,2020,4,Gobierno Central
inversion,2021-Q1,636541.44629,2021,1,Gobierno Central
inversion,2021-Q2,947415.0993900001,2021,2,Gobierno Central
inversion,2021-Q3,976023.7863599999,2021,3,Gobierno Central
inversion,2021-Q4,1735055.6555200003,2021,4,Gobierno Central
inversion,2022-Q1,488313.39635,2022,1,Gobierno Central
inversion,2022-Q2,754591.69429,2022,2,Gobierno Central
inversion,2022-Q3,819642.1848600002,2022,3,Gobierno Central
inversion,2022-Q4,1870086.30194,2022,4,Gobierno Central
inversion,2023-Q1,411196.48468,2023,1,Gobierno Central
inversion,2023-Q2,982589.4488099999,2023,2,Gobierno Central
inversion,2023-Q3,856226.45558,2023,3,Gobierno Central
inversion,2023-Q4,1959532.4007200003,2023,4,Gobierno Central
inversion,2024-Q1,616063.72857,2024,1,Gobierno Central
inversion,2024-Q2,1375673.4586,2024,2,Gobierno Central
inversion,2024-Q3,946689.0636499999,2024,3,Gobierno Central
inversion,2024-Q4,1477954.6509500002,2024,4,Gobierno Central
inversion,2025-Q1,974372.07597,2025,1,Gobierno Central
inversion,2025-Q2,1252270.70107,2025,2,Gobierno Central
inversion,2025-Q3,974671.6449699999,2025,3,Gobierno Central
inversion,2025-Q4,1709777.07152,2025,4,Gobierno Central
transferencia_capital,2017-Q1,651119.5079999999,2017,1,Gobierno Central
transferencia_capital,2017-Q2,768325.869,2017,2,Gobierno Central
transferencia_capital,2017-Q3,645222.068,2017,3,Gobierno Central
transferencia_capital,2017-Q4,852287.949,2017,4,Gobierno Central
transferencia_capital,2018-Q1,784894.087,2018,1,Gobierno Central
transferencia_capital,2018-Q2,796373.468,2018,2,Gobierno Central
