categoria,periodo,valor,año,trimestre,fuente
GASTOS,2017-Q1,8393162.233884,2017,1,Gobierno Central
GASTOS,2017-Q2,8449243.77817,2017,2,Gobierno Central
GASTOS,2017-Q3,9350796.115438,2017,3,Gobierno Central
GASTOS,2017-Q4,9667666.980511,2017,4,Gobierno Central
GASTOS,2018-Q1,9119111.571868,2018,1,Gobierno Central
GASTOS,2018-Q2,9135291.890586998,2018,2,Gobierno Central
GASTOS,2018-Q3,9409037.887009002,2018,3,Gobierno Central
GASTOS,2018-Q4,10516651.990579,2018,4,Gobierno Central
GASTOS,2019-Q1,9690992.328267997,2019,1,Gobierno Central
GASTOS,2019-Q2,9615579.390241997,2019,2,Gobierno Central
GASTOS,2019-Q3,10253745.759994999,2019,3,Gobierno Central
GASTOS,2019-Q4,11132251.136635004,2019,4,Gobierno Central
GASTOS,2020-Q1,10669929.945841998,2020,1,Gobierno Central
GASTOS,2020-Q2,10603847.397105005,2020,2,Gobierno Central
GASTOS,2020-Q3,14209073.743817005,2020,3,Gobierno Central
GASTOS,2020-Q4,12497363.12001399,2020,4,Gobierno Central
GASTOS,2021-Q1,12390682.369187,2021,1,Gobierno Central
GASTOS,2021-Q2,16034532.721048005,2021,2,Gobierno Central
GASTOS,2021-Q3,20336780.869114004,2021,3,Gobierno Central
GASTOS,2021-Q4,19657615.241780996,2021,4,Gobierno Central
GASTOS,2022-Q1,12859509.063099993,2022,1,Gobierno Central
GASTOS,2022-Q2,12992767.065323997,2022,2,Gobierno Central
GASTOS,2022-Q3,15934944.113674004,2022,3,Gobierno Central
GASTOS,2022-Q4,14598563.828261,2022,4,Gobierno Central
GASTOS,2023-Q1,15207978.983697994,2023,1,Gobierno Central
GASTOS,2023-Q2,15112627.817087006,2023,2,Gobierno Central
GASTOS,2023-Q3,15415362.164785007,2023,3,Gobierno Central
GASTOS,2023-Q4,15912452.966868004,2023,4,Gobierno Central
GASTOS,2024-Q1,16597021.214371009,2024,1,Gobierno Central
GASTOS,2024-Q2,16255196.623589009,2024,2,Gobierno Central
GASTOS,2024-Q3,16592216.199924998,2024,3,Gobierno Central
GASTOS,2024-Q4,16945855.797783,2024,4,Gobierno Central
GASTOS,2025-Q1,17804221.001766004,2025,1,Gobierno Central
GASTOS,2025-Q2,17491095.45384401,2025,2,Gobierno Central
GASTOS,2025-Q3,17988535.065459996,2025,3,Gobierno Central
