categoria,periodo,valor,año,trimestre,fuente
INGRESOS,2017-Q1,9427111.444836147,2017,1,Gobierno Central
INGRESOS,2017-Q2,9868035.854807787,2017,2,Gobierno Central
INGRESOS,2017-Q3,9082542.241983317,2017,3,Gobierno Central
INGRESOS,2017-Q4,9302060.540056642,2017,4,Gobierno Central
INGRESOS,2018-Q1,10285946.921852686,2018,1,Gobierno Central
INGRESOS,2018-Q2,10705541.78396809,2018,2,Gobierno Central
INGRESOS,2018-Q3,9975927.889961287,2018,3,Gobierno Central
INGRESOS,2018-Q4,11052051.013286833,2018,4,Gobierno Central
INGRESOS,2019-Q1,10653233.36641886,2019,1,Gobierno Central
INGRESOS,2019-Q2,10987432.10115265,2019,2,Gobierno Central
INGRESOS,2019-Q3,10316905.30367031,2019,3,Gobierno Central
INGRESOS,2019-Q4,10562464.810522258,2019,4,Gobierno Central
INGRESOS,2020-Q1,11382444.472851997,2020,1,Gobierno Central
INGRESOS,2020-Q2,7715497.140349004,2020,2,Gobierno Central
INGRESOS,2020-Q3,9325481.266919002,2020,3,Gobierno Central
INGRESOS,2020-Q4,11712005.078706004,2020,4,Gobierno Central
INGRESOS,2021-Q1,12168996.353950005,2021,1,Gobierno Central
INGRESOS,2021-Q2,13655389.491438996,2021,2,Gobierno Central
INGRESOS,2021-Q3,14242931.974719997,2021,3,Gobierno Central
INGRESOS,2021-Q4,17803719.301650997,2021,4,Gobierno Central
INGRESOS,2022-Q1,15647746.426482005,2022,1,Gobierno Central
INGRESOS,2022-Q2,21115673.288545,2022,2,Gobierno Central
INGRESOS,2022-Q3,16352540.713789998,2022,3,Gobierno Central
INGRESOS,2022-Q4,15506840.677370999,2022,4,Gobierno Central
INGRESOS,2023-Q1,17369980.740630005,2023,1,Gobierno Central
INGRESOS,2023-Q2,16649272.789344996,2023,2,Gobierno Central
INGRESOS,2023-Q3,14480967.534141,2023,3,Gobierno Central
INGRESOS,2023-Q4,16187159.224269006,2023,4,Gobierno Central
INGRESOS,2024-Q1,16176050.780872,2024,1,Gobierno Central
INGRESOS,2024-Q2,17404182.094372008,2024,2,Gobierno Central
INGRESOS,2024-Q3,15307006.032422006,2024,3,Gobierno Central
INGRESOS,2024-Q4,19022446.091069005,2024,4,Gobierno Central
INGRESOS,2025-Q1,17959654.346171986,2025,1,Gobierno Central
INGRESOS,2025-Q2,18676406.305956006,2025,2,Gobierno Central
INGRESOS,2025-Q3,17790948.06874201,2025,3,Gobierno Central
INGRESOS,2025-Q4,18977196.493520997,2025,4,Gobierno Central
Ingresos tributarios netos,2017-Q1,7811250.638999999,2017,1,Gobierno Central
Ingresos tributarios netos,2017-Q2,8242578.592,2017,2,Gobierno Central
Ingresos tributarios netos,2017-Q3,7250220.248,2017,3,Gobierno Central
Ingresos tributarios netos,2017-Q4,7450017.563,2017,4,Gobierno Central
Ingresos tributarios netos,2018-Q1,8271733.867999999,2018,1,Gobierno Central
Ingresos tributarios netos,2018-Q2,8888308.217,2018,2,Gobierno Central
Ingresos tributarios netos,2018-Q3,8052223.781,2018,3,Gobierno Central
Ingresos tributarios netos,2018-Q4,9091793.129,2018,4,Gobierno Central
Ingresos tributarios netos,2019-Q1,8731422.665,2019,1,Gobierno Central
Ingresos tributarios netos,2019-Q2,9017080.291000001,2019,2,Gobierno Central
Ingresos tributarios netos,2019-Q3,8408513.049,2019,3,Gobierno Central
Ingresos tributarios netos,2019-Q4,8422206.376999998,2019,4,Gobierno Central
Ingresos tributarios netos,2020-Q1,9393349.351,2020,1,Gobierno Central
Ingresos tributarios netos,2020-Q2,5809082.187000002,2020,2,Gobierno Central
Ingresos tributarios netos,2020-Q3,7560874.954000001,2020,3,Gobierno Central
Ingresos tributarios netos,2020-Q4,9539177.743,2020,4,Gobierno Central
Ingresos tributarios netos,2021-Q1,9809012.753000002,2021,1,Gobierno Central
Ingresos tributarios netos,2021-Q2,10991018.101999998,2021,2,Gobierno Central
Ingresos tributarios netos,2021-Q3,11243045.025,2021,3,Gobierno Central
Ingresos tributarios netos,2021-Q4,13240689.004,2021,4,Gobierno Central
Ingresos tributarios netos,2022-Q1,12926774.432000002,2022,1,Gobierno Central
Ingresos tributarios netos,2022-Q2,17690294.76599999,2022,2,Gobierno Central
Ingresos tributarios netos,2022-Q3,12775279.883000001,2022,3,Gobierno Central
Ingresos tributarios netos,2022-Q4,12015170.443999998,2022,4,Gobierno Central
Ingresos tributarios netos,2023-Q1,13613902.159999998,2023,1,Gobierno Central
Ingresos tributarios netos,2023-Q2,12575525.902999997,2023,2,Gobierno Central
Ingresos tributarios netos,2023-Q3,11431619.932000002,2023,3,Gobierno Central
Ingresos tributarios netos,2023-Q4,12119757.979000002,2023,4,Gobierno Central
Ingresos tributarios netos,2024-Q1,12898102.194000002,2024,1,Gobierno Central
Ingresos tributarios netos,2024-Q2,14602504.116,2024,2,Gobierno Central
Ingresos tributarios netos,2024-Q3,12334982.400000002,2024,3,Gobierno Central
Ingresos tributarios netos,2024-Q4,14834130.114999998,2024,4,Gobierno Central
Ingresos tributarios netos,2025-Q1,15166460.581095,2025,1,Gobierno Central
Ingresos tributarios netos,2025-Q2,15921224.937566,2025,2,Gobierno Central
Ingresos tributarios netos,2025-Q3,14553696.703999998,2025,3,Gobierno Central
Ingresos tributarios netos,2025-Q4,15002701.278999995,2025,4,Gobierno Central
Traspasos Codelco,2017-Q1,158189.67885999999,2017,1,Gobierno Central
Traspasos Codelco,2017-Q2,152449.83359999998,2017,2,Gobierno Central
Traspasos Codelco,2017-Q3,293863.19087,2017,3,Gobierno Central
Traspasos Codelco,2017-Q4,294396.99666857,2017,4,Gobierno Central
Traspasos Codelco,2018-Q1,413233.0338512,2018,1,Gobierno Central
Traspasos Codelco,2018-Q2,236899.81336496997,2018,2,Gobierno Central
Traspasos Codelco,2018-Q3,282270.03625850996,2018,3,Gobierno Central
Traspasos Codelco,2018-Q4,185188.75428,2018,4,Gobierno Central
Traspasos Codelco,2019-Q1,164957.37907999998,2019,1,Gobierno Central
Traspasos Codelco,2019-Q2,166810.5882399999,2019,2,Gobierno Central
Traspasos Codelco,2019-Q3,175321.88218000002,2019,3,Gobierno Central
Traspasos Codelco,2019-Q4,203785.01022,2019,4,Gobierno Central
Traspasos Codelco,2020-Q1,181389.16437,2020,1,Gobierno Central
Traspasos Codelco,2020-Q2,169948.9492800003,2020,2,Gobierno Central
Traspasos Codelco,2020-Q3,222643.23578000005,2020,3,Gobierno Central
Traspasos Codelco,2020-Q4,445286.85594,2020,4,Gobierno Central
Traspasos Codelco,2021-Q1,253442.79968,2021,1,Gobierno Central
Traspasos Codelco,2021-Q2,877997.7571199997,2021,2,Gobierno Central
Traspasos Codelco,2021-Q3,855624.6944400001,2021,3,Gobierno Central
Traspasos Codelco,2021-Q4,2417829.94832,2021,4,Gobierno Central
Traspasos Codelco,2022-Q1,386106.3151500001,2022,1,Gobierno Central
Traspasos Codelco,2022-Q2,973767.6489300006,2022,2,Gobierno Central
Traspasos Codelco,2022-Q3,252082.47750000007,2022,3,Gobierno Central
Traspasos Codelco,2022-Q4,350600.52563000005,2022,4,Gobierno Central
Traspasos Codelco,2023-Q1,323063.36632,2023,1,Gobierno Central
Traspasos Codelco,2023-Q2,271181.9149700001,2023,2,Gobierno Central
Traspasos Codelco,2023-Q3,284735.01806000003,2023,3,Gobierno Central
Traspasos Codelco,2023-Q4,301411.98403,2023,4,Gobierno Central
Traspasos Codelco,2024-Q1,314120.86617999995,2024,1,Gobierno Central
Traspasos Codelco,2024-Q2,319370.59476299933,2024,2,Gobierno Central
Traspasos Codelco,2024-Q3,326947.09307,2024,3,Gobierno Central
Traspasos Codelco,2024-Q4,384646.195322,2024,4,Gobierno Central
Traspasos Codelco,2025-Q1,336856.80836400006,2025,1,Gobierno Central
