indice,año,trimestre
73.1316,2017,1
73.5162,2017,2
73.5931,2017,3
74.0814,2017,4
74.5897,2018,1
75.1047,2018,2
75.6665,2018,3
76.1314,2018,4
76.3053,2019,1
77.0812,2019,2
77.5293,2019,3
78.2851,2019,4
79.1278,2020,1
79.3419,2020,2
79.6094,2020,3
80.5491,2020,4
81.4588,2021,1
82.1878,2021,2
83.4987,2021,3
85.8899,2021,4
88.2275,2022,1
91.6553,2022,2
94.8959,2022,3
97.0328,2022,4
98.6314,2023,1
99.648,2023,2
100.2333,2023,3
101.4873,2023,4
102.5809,2024,1
103.7313,2024,2
104.7346,2024,3
106.0154,2024,4
107.5504,2025,1
108.2561,2025,2
109.1624,2025,3
109.664,2025,4
