categoria,periodo,valor,año,trimestre,fuente
PASIVOS_NETOS_INCURRIDOS,2017-Q1,-277479.82658999995,2017,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2017-Q2,4155070.8618800007,2017,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2017-Q3,513579.17169,2017,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2017-Q4,1201516.14401,2017,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2018-Q1,-435073.938791,2018,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2018-Q2,266071.6842789999,2018,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2018-Q3,2333165.274799,2018,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2018-Q4,1005774.3582739999,2018,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2019-Q1,188393.65560700002,2019,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2019-Q2,2296463.268,2019,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2019-Q3,1367495.1210750001,2019,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2019-Q4,503346.7339300001,2019,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2020-Q1,1120430.105145,2020,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2020-Q2,4654700.877336,2020,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2020-Q3,1312267.4875080003,2020,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2020-Q4,1160215.5453679997,2020,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2021-Q1,796192.8579869997,2021,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2021-Q2,3522493.6853290005,2021,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2021-Q3,8035505.356383998,2021,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2021-Q4,2182568.56853,2021,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2022-Q1,2660598.436598,2022,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2022-Q2,3234161.146609001,2022,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2022-Q3,17394.267133999954,2022,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2022-Q4,365354.6142900001,2022,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2023-Q1,-2872847.4916519998,2023,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2023-Q2,3171163.484871999,2023,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2023-Q3,2171390.0020439997,2023,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2023-Q4,2355247.6853190004,2023,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2024-Q1,2078419.5434889996,2024,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2024-Q2,1878596.914496999,2024,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2024-Q3,5863290.066513,2024,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2024-Q4,-1830673.6563460005,2024,4,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2025-Q1,1601172.4560440008,2025,1,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2025-Q2,4880060.657658,2025,2,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2025-Q3,2343935.8332979996,2025,3,Gobierno Central
PASIVOS_NETOS_INCURRIDOS,2025-Q4,-159736.319164,2025,4,Gobierno Central
endeudamiento_externo_neto,2017-Q1,-22865.41927,2017,1,Gobierno Central
endeudamiento_externo_neto,2017-Q2,1353374.4838800004,2017,2,Gobierno Central
endeudamiento_externo_neto,2017-Q3,74198.58869,2017,3,Gobierno Central
endeudamiento_externo_neto,2017-Q4,9911.67401,2017,4,Gobierno Central
endeudamiento_externo_neto,2018-Q1,1271794.9615900002,2018,1,Gobierno Central
endeudamiento_externo_neto,2018-Q2,-7259.5652,2018,2,Gobierno Central
